Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://mtalotekniikka.fi/hinnasto,Hinnasto | M Talotekniikka,100,0.06084360063679411,n/a,1,200,0.111,0,0,0,0,0,Canonical to other page,0,1,21,0,0,-,-,3,8,24,"ajantasainen hinnasto sähkö-, lvi- ja saneerauspalveluille. tuntihinnat, lisäkulut ja päivystysveloitus.",Google-Extended
https://mtalotekniikka.fi/projektit,Projektit ja referenssit | M Talotekniikka,100,0.06084360063679411,n/a,1,200,0.109,0,0,0,0,0,Canonical to other page,0,1,21,0,0,-,-,3,8,24,"tutustu m talotekniikan toteuttamiin sähkö-, lvi- ja saneerausprojekteihin pirkanmaalla.",Google-Extended
https://mtalotekniikka.fi/tietosuoja,Tietosuojaseloste | M Talotekniikka,100,0.06084360063679411,n/a,1,200,0.038,0,0,0,0,0,Canonical to other page,0,1,21,0,0,-,-,3,8,23,"tietosuojaseloste kertoo, miten m talotekniikka käsittelee henkilötietoja ja evästeitä.",Google-Extended
https://mtalotekniikka.fi/verkkokauppa,Verkkokauppa | M Talotekniikka,100,0.06084360063679411,n/a,1,200,0.036,0,0,0,0,0,Canonical to other page,0,1,21,0,0,-,-,3,8,25,tilaa sähkö- ja lvi-palvelut sekä tarvikkeet helposti verkosta. nopea palvelu ja luotettava toimitus pirkanmaalla.,Google-Extended
https://mtalotekniikka.fi/yhteystiedot,Yhteystiedot | M Talotekniikka,100,0.06084360063679411,n/a,1,200,0.037,0,1,1,0,0,Canonical to other page,0,1,21,0,0,-,-,3,8,24,"ota yhteyttä m talotekniikkaan. puhelin, sähköposti ja yhteydenottolomake sähkö-, lvi- ja saneerauspalveluihin pirkanmaalla.",Google-Extended
https://mtalotekniikka.fi/aurinkopaneelit,"Aurinkopaneelit – mitoitus, asennus ja käyttöönotto | M Talotekniikka",97,0.060748787830950945,n/a,1,200,0.033,0,0,0,0,0,Canonical to other page,0,1,22,0,0,-,-,3,8,24,"aurinkopaneelien mitoitus, asennus ja käyttöönotto pirkanmaalla. invertterit, kytkennät ja dokumentoitu luovutus yhdeltä tiimiltä.",Google-Extended
https://mtalotekniikka.fi/huoneistoremontti,Huoneistoremontit | M Talotekniikka,97,0.060748787830950945,n/a,1,200,0.036,0,0,0,0,0,Canonical to other page,0,1,22,0,0,-,-,3,8,24,"huoneistoremontit pirkanmaalla: pintaremontit, keittiöt, märkätilat ja aikataulutettu luovutus yhdellä yhteyshenkilöllä.",Google-Extended
https://mtalotekniikka.fi/ilmastointihuolto,Ilmanvaihtotyöt ja huollot | M Talotekniikka,97,0.060748787830950945,n/a,1,200,0.04,0,0,1,0,0,Canonical to other page,0,1,22,0,0,-,-,3,8,24,"ilmanvaihdon huollot, puhdistukset, säädöt ja mittaukset pirkanmaalla. parempi sisäilma taloyhtiöille ja yrityksille.",Google-Extended
https://mtalotekniikka.fi/keittioremontti,Keittiöremontit | M Talotekniikka,97,0.060748787830950945,n/a,1,200,0.037,0,0,0,0,0,Canonical to other page,0,1,22,0,0,-,-,3,8,24,"keittiöremontit pirkanmaalla: suunnittelu, purku, asennus ja luovutus yhdellä yhteyshenkilöllä. sähkö ja lvi samalta tiimiltä.",Google-Extended
https://mtalotekniikka.fi/kylpyhuoneremontti,Kylpyhuoneremontit | M Talotekniikka,97,0.060748787830950945,n/a,1,200,0.032,0,0,0,0,0,Canonical to other page,0,1,22,0,0,-,-,3,8,24,"kylpyhuoneremontit pirkanmaalla: vedeneristys, sähkö- ja lvi-työt sekä dokumentoitu luovutus yhdeltä tiimiltä.",Google-Extended
https://mtalotekniikka.fi/lampopumppu-asennus,Lämpöpumput – asennus ja huolto | M Talotekniikka,97,0.060748787830950945,n/a,1,200,0.04,0,0,1,0,0,Canonical to other page,0,1,22,0,0,-,-,3,8,24,"lämpöpumppujen kartoitus, mitoitus, asennus ja huolto pirkanmaalla. ilmalämpöpumppu ja ilma-vesi -ratkaisut yhdeltä tiimiltä.",Google-Extended
https://mtalotekniikka.fi/sahkoautonlataus,"Sähköauton lataus – kartoitus, asennus ja käyttöönotto | M Talotekniikka",97,0.060748787830950945,n/a,1,200,0.033,0,0,0,0,0,Canonical to other page,0,1,22,0,0,-,-,3,8,24,"sähköauton latausratkaisut pirkanmaalla: kartoitus, kuormanhallinta, asennus ja dokumentoitu käyttöönotto yhdeltä tiimiltä.",Google-Extended
https://mtalotekniikka.fi/putkityot,Putkityöt ja LVI-palvelut | M Talotekniikka,94,0.06066221961692023,n/a,1,200,0.036,0,0,1,0,0,Canonical to other page,0,1,23,0,0,-,-,3,8,25,"putkityöt ja lvi-palvelut pirkanmaalla: vuodot, vesikalusteet, käyttövesiremontit ja huollot yhdeltä tiimiltä.",Google-Extended
